aX,aY,aZ,gX,gY,gZ,Sample No
0.242,3.731,4,212.097,168.518,-164.734,1
1.771,0.724,-1.587,670.471,295.959,-210.144,1
0.733,1.693,-1.425,513.367,24.658,-98.145,1
0.89,1.097,-1.533,252.991,29.724,-16.235,1
0.351,0.788,-1.731,103.027,74.707,20.752,1
0.323,0.605,-1.289,36.682,45.41,23.071,1
0.768,0.233,-0.97,24.414,9.338,17.029,1
0.78,0.251,-0.777,0.244,-9.705,13.916,1
0.694,0.389,-0.504,-36.316,-5.249,11.841,1
0.641,0.464,-0.28,-60.608,-1.404,12.573,1
0.649,0.586,-0.161,-66.833,-7.568,6.165,1
0.635,0.631,-0.129,-58.289,-17.029,-8.423,1
0.598,0.593,-0.074,-45.776,-23.071,-22.034,1
0.5,0.561,-0.021,-33.63,-23.56,-31.494,1
0.453,0.539,-0.006,-21.423,-16.479,-35.706,1
0.476,0.548,-0.054,-9.949,-8.362,-31.067,1
0.498,0.566,-0.151,-0.977,-2.075,-20.081,1
0.531,0.575,-0.241,5.371,4.761,-7.263,1
0.564,0.584,-0.302,10.071,10.803,3.845,1
0.604,0.607,-0.346,14.282,13.489,13.245,1
0.646,0.625,-0.376,18.005,12.573,18.799,1
0.671,0.641,-0.391,20.508,10.315,20.386,1
0.677,0.68,-0.418,20.63,7.874,19.226,1
0.684,0.687,-0.449,20.02,5.188,16.052,1
0.669,0.682,-0.472,18.005,1.77,11.047,1
0.669,0.68,-0.473,14.16,0.183,4.395,1
0.681,0.683,-0.467,9.46,-0.488,-1.526,1
0.695,0.687,-0.451,4.456,-1.953,-6.348,1
0.695,0.692,-0.42,0.183,-4.211,-10.864,1
0.693,0.694,-0.387,-2.563,-6.165,-13.428,1
0.682,0.688,-0.36,-3.845,-7.568,-14.648,1
0.669,0.674,-0.338,-4.089,-8.179,-14.587,1
0.661,0.669,-0.331,-3.784,-7.874,-12.695,1
0.655,0.654,-0.327,-2.808,-6.958,-10.132,1
0.666,0.645,-0.324,-2.502,-5.371,-8.484,1
0.683,0.649,-0.326,-2.441,-3.845,-5.92,1
0.693,0.616,-0.34,-2.014,-3.174,-3.967,1
0.708,0.625,-0.339,-2.319,-2.869,-4.089,1
0.709,0.632,-0.343,-2.991,-2.747,-4.211,1
0.71,0.638,-0.351,-3.357,-2.991,-4.333,1
0.709,0.641,-0.354,-3.662,-3.296,-4.639,1
0.703,0.642,-0.352,-3.967,-3.357,-4.761,1
0.688,0.642,-0.355,-3.662,-3.052,-4.7,1
0.677,0.64,-0.354,-3.174,-2.319,-4.089,1
0.674,0.635,-0.353,-3.052,-1.709,-3.113,1
0.667,0.635,-0.349,-3.235,-0.732,-2.258,1
0.669,0.633,-0.34,-3.113,0.671,-1.221,1
0.677,0.631,-0.339,-2.625,1.343,0,1
0.679,0.633,-0.341,-2.014,1.892,1.099,1
