1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
41.259998,58.359997,60.02,60.139999,61.099998,56.66,58.599998,55.5,47.34,41.739998,38.98,32.98,25.08,20.139999,36.919998,30.5,43.579998,48.16,16.18,29.619999,33.959999,17.719999,19.82,26.599998,28.5,28.719999,27.08,21.4,20.139999,16.18,13.04,5.1,3.62,3.62,5.1,8.86,12.54,13.04,14.92,15.339999,18.799999,24.82,22.299999,22.299999,22.6,24.82,23.459999,22.6,21.4,23.459999,22.299999,18.459999,22.02,19.48,19.139999,18.1,14.48,15.339999,16.18,15.339999,12,10.86,9.559999,8.86,1
45.919998,54.899998,58.359997,57.919998,57.579998,53.699997,57.579998,51.059998,38.299999,40.779999,34.34,26.099998,28.26,19.48,24.82,16.18,8.86,26.099998,44.32,16.98,19.82,25.08,30.5,36.559998,62.599998,52.699997,33.18,20.779999,36.200001,58.82,62.899998,63.02,53.439999,44.32,35.099998,25.599998,21.4,15.78,12,9.559999,5.1,3.62,0,0,0,3.62,3.62,3.62,3.62,5.1,6.26,8.08,8.08,7.24,7.24,8.86,8.86,8.08,7.24,8.08,9.559999,10.86,12.54,13.54,2
43.879997,45.059998,42.059998,38.139999,34.34,29.619999,25.84,23.18,18.799999,13.54,7.24,3.62,0,0,0,0,3.62,6.26,9.559999,12,13.54,14.92,15.339999,14.92,14.92,14.92,14.48,14.02,13.54,13.04,13.04,13.04,11.44,9.559999,8.08,8.08,9.559999,10.86,11.44,12,11.44,10.86,10.219999,8.86,8.08,7.24,6.26,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40.939999,37.799999,34.139999,30.699999,25.599998,19.82,17.359999,12.54,8.86,8.08,8.86,3.62,3.62,6.26,8.86,9.559999,10.219999,13.54,12.54,13.04,13.04,17.359999,16.18,13.54,19.48,15.78,16.18,18.1,13.54,13.04,14.02,15.339999,10.86,9.559999,14.02,13.04,8.08,9.559999,8.86,6.26,7.24,5.1,6.26,6.26,3.62,6.26,6.26,5.1,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,4
50.799999,42.82,23.459999,25.34,27.08,14.92,3.62,22.879999,37.619999,47.619999,47.34,41.579998,39.48,34.139999,28.26,24.82,19.48,12,5.1,0,6.26,8.08,10.219999,13.04,14.48,14.48,14.92,16.18,16.98,17.719999,18.459999,18.1,17.359999,15.78,14.92,14.92,14.48,14.48,14.48,14.48,14.48,14.92,14.92,14.92,14.48,13.54,12.54,11.44,10.86,9.559999,8.86,8.08,7.24,7.24,6.26,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,5
40.459999,34.899998,38.639999,34.52,27.32,28.5,20.459999,16.18,14.02,12.54,12,15.339999,21.719999,22.6,25.84,46.639999,40.299999,57.68,31.139999,11.44,8.86,19.139999,13.54,18.799999,16.98,21.1,17.359999,21.1,18.459999,10.86,10.219999,5.1,5.1,3.62,0,0,0,0,0,0,3.62,3.62,5.1,6.26,6.26,6.26,6.26,6.26,7.24,7.24,7.24,8.08,8.08,6.26,7.24,7.24,7.24,6.26,5.1,5.1,5.1,5.1,6.26,6.26,6
41.259998,47.200001,46.919998,51.439999,51.32,47.879997,46.059998,47.34,46.059998,36.380001,40.139999,33.959999,25.599998,28.5,18.459999,30.699999,19.139999,20.779999,45.779999,69.260002,82.459999,128.5,106.399994,52.579998,30.5,37.079998,25.599998,25.84,34.139999,38.48,38.98,47.200001,41.419998,37.959999,32.779999,26.34,21.1,17.359999,14.02,7.24,3.62,3.62,6.26,12.54,14.02,14.48,16.18,18.459999,18.799999,18.799999,18.799999,19.82,19.48,18.799999,16.18,17.359999,17.359999,14.02,13.04,12.54,11.44,10.86,10.86,11.44,7
53.199997,57.119999,50.539997,49.099998,49.759998,46.779999,50.279999,49.759998,46.779999,36.559998,36.02,31.559999,25.84,22.6,16.18,21.719999,23.18,33.18,36.919998,18.1,14.92,20.139999,18.1,11.44,8.08,11.44,16.18,22.879999,20.139999,18.459999,19.139999,13.54,7.24,3.62,3.62,7.24,0,7.24,8.08,8.86,8.86,9.559999,7.24,7.24,9.559999,6.26,8.08,8.86,7.24,7.24,13.54,11.44,12,8.08,8.08,8.86,12.54,11.44,12,13.04,13.04,13.04,12.54,11.44,8
43.739998,64.959999,70.479996,66.739998,73.220001,71.119995,68.199997,72.400002,62.279999,44.18,47.619999,38.98,28.5,27.799999,19.139999,21.4,15.339999,20.779999,39.98,30.059999,32.18,30.279999,18.1,16.18,16.18,17.719999,13.54,12,16.98,45.919998,46.5,48.559998,51.059998,48.559998,39.82,33.360001,27.08,22.02,18.459999,16.18,12,6.26,0,0,5.1,8.08,9.559999,11.44,12.54,13.54,14.02,14.48,14.92,14.92,14.92,14.92,14.48,14.02,14.02,13.54,13.04,12.54,12,10.86,9
59.699997,87.540001,84.739998,79.559998,77.799995,88,89.699997,87.839996,72.839996,74.279999,62.18,43.279999,44.040001,31.139999,25.84,20.139999,14.92,14.48,18.459999,21.4,31.34,23.459999,32.98,27.08,19.139999,25.599998,18.1,14.92,8.08,15.339999,25.34,35.639999,40.619999,46.200001,44.619999,45.639999,42.68,36.200001,30.5,26.099998,22.299999,18.799999,13.04,13.04,8.86,7.24,7.24,3.62,0,3.62,6.26,8.86,6.26,10.86,16.18,16.58,15.78,13.54,10.86,12.54,17.719999,19.48,20.139999,19.82,10
45.059998,50.68,44.779999,41.419998,37.079998,34.899998,27.559999,25.34,17.359999,13.54,8.08,7.24,10.219999,0,3.62,5.1,9.559999,9.559999,14.48,17.359999,22.02,21.1,22.879999,22.299999,23.459999,25.599998,24.82,25.08,25.599998,21.719999,18.799999,20.139999,17.719999,16.98,14.48,12.54,12,10.86,11.44,10.86,9.559999,8.08,8.08,8.08,8.86,8.86,8.86,8.08,7.24,6.26,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,11
49.099998,54.299999,58.48,59.48,56.66,57.119999,57.919998,50.02,34.52,35.459999,28.26,25.599998,19.139999,15.339999,16.98,22.02,31.76,31.76,14.92,13.54,8.86,14.02,10.86,10.86,15.78,29.179998,30.279999,41.099998,38.299999,34.899998,33.759998,24,22.299999,14.92,14.48,3.62,3.62,5.1,8.08,12.54,20.139999,18.1,18.459999,19.139999,15.78,21.719999,19.139999,19.139999,20.139999,18.459999,19.139999,17.719999,17.719999,14.02,17.359999,13.54,14.92,14.02,10.86,10.219999,8.86,10.86,11.44,10.86,12
