0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,sample
70.279999,143.800003,169.259995,195.159988,215.339996,227.099991,213.299988,136.259995,122.119995,21.1,21.719999,29.179998,29.4,21.1,13.04,8.08,3.62,0,12,13.04,19.139999,18.799999,18.459999,17.359999,13.04,8.86,8.08,7.24,6.26,7.24,5.1,5.1,5.1,7.24,6.26,7.24,5.1,8.86,6.26,5.1,3.62,5.1,6.26,3.62,3.62,3.62,3.62,0,6.26,8.86,9.559999,11.44,14.02,15.78,17.719999,19.139999,19.139999,18.799999,18.459999,18.1,17.359999,16.98,17.719999,15.78,1
52.82,65.860001,71.760002,69.260002,60.899998,45.059998,50.68,90.860001,16.58,6.26,14.02,14.48,13.04,10.219999,7.24,5.1,0,0,0,5.1,10.219999,13.54,3.62,0,3.62,0,0,3.62,0,0,7.24,8.08,6.26,0,5.1,6.26,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,2
117.919998,109.019997,106.220001,101.5,84.119995,85.959999,202.559998,83.739998,51.699997,39.98,26.34,15.78,8.08,0,0,0,5.1,6.26,7.24,8.08,8.86,8.08,7.24,19.139999,20.139999,14.48,9.559999,8.86,7.24,5.1,6.26,6.26,5.1,3.62,0,0,0,0,0,0,0,3.62,5.1,3.62,3.62,3.62,5.1,5.1,5.1,6.26,5.1,3.62,3.62,3.62,5.1,0,3.62,0,0,0,3.62,5.1,3.62,3.62,3
57.579998,80.720001,78.559998,82.299995,87.099998,90.139999,75.239998,63.939999,151.539993,29.4,24.279999,29.4,27.32,23.18,18.1,12.54,7.24,3.62,0,0,0,3.62,3.62,5.1,5.1,3.62,9.559999,12.54,8.08,8.86,3.62,0,5.1,3.62,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,4
45.200001,65.159996,45.639999,42.059998,45.200001,50.16,53.079998,40.459999,74.279999,25.34,14.92,16.18,14.92,14.02,12.54,9.559999,7.24,5.1,3.62,0,0,0,0,0,0,0,0,0,0,3.62,3.62,3.62,5.1,5.1,6.26,6.26,6.26,6.26,6.26,5.1,6.26,3.62,8.86,10.86,8.08,3.62,0,0,0,3.62,3.62,5.1,7.24,8.08,9.559999,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,5
44.779999,80.139999,98.079994,92.360001,85.040001,71.939995,59.259998,85.040001,22.6,12,12,13.54,13.54,12,9.559999,7.24,5.1,3.62,3.62,0,0,0,0,0,0,3.62,3.62,6.26,7.24,10.86,10.219999,10.219999,7.24,3.62,5.1,0,0,0,3.62,0,0,0,0,3.62,0,5.1,0,0,0,0,0,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,6
69.439995,74.639999,62.18,75.32,71.299995,39.82,24.539999,12,0,3.62,6.26,7.24,6.26,3.62,0,0,0,0,3.62,3.62,5.1,5.1,5.1,5.1,6.26,6.26,6.26,6.26,6.26,6.26,5.1,5.1,5.1,5.1,3.62,3.62,3.62,3.62,0,0,9.559999,8.86,8.08,0,0,0,5.1,0,7.24,11.44,7.24,8.86,10.219999,8.08,8.86,10.219999,9.559999,8.08,8.86,6.26,5.1,5.1,6.26,3.62,7
67.040001,69.439995,90.199997,96.18,97.879997,63.84,49.360001,43.279999,17.719999,8.08,9.559999,10.86,11.44,10.219999,8.08,5.1,3.62,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,6.26,6.26,6.26,5.1,3.62,3.62,7.24,3.62,10.219999,12,5.1,5.1,0,0,0,3.62,6.26,5.1,9.559999,6.26,0,5.1,6.26,8.08,8.08,6.26,7.24,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,8
64.959999,83.739998,88.900002,74.18,71.299995,73.299995,74.540001,75.759995,46.360001,23.18,14.48,9.559999,13.54,12,9.559999,8.08,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,8.08,7.24,5.1,0,0,0,0,0,3.62,3.62,5.1,5.1,6.26,5.1,7.24,7.24,7.24,5.1,3.62,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,9
51.059998,59.359997,70,72.400002,72.939995,73.019997,70.479996,41.579998,14.92,12.54,8.86,6.26,8.08,7.24,5.1,5.1,3.62,3.62,0,0,0,0,0,3.62,8.86,7.24,0,0,0,0,3.62,3.62,5.1,5.1,0,0,0,3.62,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
55.84,75.419998,65.860001,67.239998,66.059998,60.139999,49.099998,35.279999,8.08,7.24,0,0,0,3.62,3.62,0,0,0,0,0,0,0,3.62,3.62,3.62,3.62,5.1,5.1,5.1,6.26,8.86,14.02,11.44,5.1,0,0,0,0,0,0,0,0,0,3.62,0,3.62,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
52.079998,63.52,59.48,65.059998,62.059998,51.959999,44.32,21.4,11.44,5.1,3.62,6.26,8.08,8.86,8.86,8.08,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,3.62,0,0,0,0,0,0,0,5.1,7.24,5.1,3.62,3.62,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,0,0,3.62,3.62,0,0,12
48.279999,74.360001,76.619995,66.159996,57.919998,60.779999,53.699997,52.82,15.78,5.1,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,0,0,7.24,8.08,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
66.659996,66.360001,76.879997,64.139999,63.739998,56.539997,58.48,36.200001,8.08,0,0,0,0,0,0,0,0,0,3.62,5.1,5.1,5.1,3.62,8.86,9.559999,9.559999,6.26,5.1,3.62,0,0,3.62,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
120.339996,108.299995,97.459999,103.599998,103.399994,85.739998,58.82,16.58,6.26,3.62,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,8.08,8.08,7.24,8.08,8.08,3.62,0,0,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,0,3.62,0,0,0,0,3.62,3.62,0,5.1,3.62,0,15
42.68,70.279999,73.299995,77.559998,88.360001,91.079994,88.299995,84.739998,74.099998,41.419998,15.339999,3.62,5.1,7.24,9.559999,10.219999,10.219999,8.86,6.26,6.26,5.1,3.62,0,0,0,0,9.559999,7.24,6.26,0,0,0,3.62,8.86,0,3.62,6.26,6.26,5.1,6.26,5.1,3.62,6.26,5.1,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,16
40.619999,57,67.619995,73.019997,70.479996,63.219997,47.879997,21.1,15.78,8.86,0,0,3.62,6.26,6.26,6.26,6.26,5.1,5.1,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,8.08,8.08,5.1,0,0,0,0,3.62,3.62,3.62,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,17
59.48,106.579994,103.860001,111.68,108.299995,79.299995,34.34,15.339999,9.559999,7.24,5.1,3.62,0,0,0,0,0,0,0,3.62,3.62,6.26,8.08,9.559999,10.219999,8.08,7.24,6.26,3.62,0,5.1,6.26,8.86,7.24,8.08,8.08,5.1,5.1,8.08,3.62,6.26,5.1,3.62,8.86,0,3.62,0,0,5.1,3.62,0,0,3.62,3.62,6.26,5.1,3.62,6.26,8.86,12.54,8.08,6.26,5.1,0,18
70.379997,78.639999,65.059998,58.919998,58.48,13.04,7.24,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,3.62,0,0,0,0,0,3.62,0,0,3.62,5.1,5.1,8.08,6.26,6.26,6.26,7.24,3.62,3.62,5.1,0,0,0,0,0,0,0,5.1,6.26,0,0,0,0,0,0,0,0,0,0,19
69.260002,72.939995,73.220001,53.82,11.44,8.08,6.26,5.1,3.62,3.62,3.62,3.62,0,0,0,0,0,0,3.62,3.62,0,0,0,0,0,0,0,0,3.62,5.1,6.26,7.24,6.26,7.24,6.26,7.24,7.24,8.86,6.26,3.62,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,20
41.579998,65.260002,52.32,60.459999,58.48,57.119999,53.939999,49.239998,17.359999,10.86,3.62,0,6.26,8.08,7.24,5.1,3.62,0,0,0,0,0,0,7.24,3.62,0,0,3.62,0,0,5.1,3.62,7.24,3.62,3.62,3.62,3.62,5.1,3.62,3.62,3.62,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
54.899998,55.5,64.239998,55.84,54.059998,51.199997,27.799999,16.98,13.54,12,9.559999,8.08,7.24,6.26,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.62,3.62,0,0,0,0,0,3.62,3.62,3.62,3.62,3.62,0,5.1,5.1,3.62,6.26,8.08,8.08,7.24,3.62,5.1,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,22
51.84,47.879997,51.699997,62.279999,50.16,44.32,18.459999,8.08,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
54.66,62.059998,73.019997,79.479996,69.339996,67.519997,49.639999,13.54,5.1,0,0,0,0,0,3.62,3.62,5.1,5.1,5.1,6.26,6.26,5.1,6.26,7.24,8.08,8.86,7.24,6.26,5.1,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
