1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
20.779999,20.779999,19.82,16.58,12.54,30.699999,52.699997,72.68,89.259995,83.879997,76.699997,30.059999,13.04,0,5.1,3.62,0,0,0,0,3.62,139.73999,103.479996,48.84,26.34,33.959999,25.599998,24.279999,7.24,9.559999,10.219999,22.6,24.279999,21.1,26.099998,16.98,10.86,8.86,14.92,11.44,15.339999,8.08,10.86,6.26,5.1,5.1,3.62,0,0,5.1,7.24,8.08,8.86,9.559999,10.219999,12,13.04,14.48,15.339999,16.18,16.58,16.98,17.359999,17.359999,1
34.52,20.139999,18.799999,3.62,5.1,7.24,9.559999,9.559999,12,13.54,12.54,10.86,8.08,5.1,0,0,5.1,3.62,9.559999,12.54,18.459999,14.02,16.18,10.86,10.86,8.86,8.86,5.1,6.26,5.1,7.24,8.08,8.86,6.26,5.1,7.24,6.26,6.26,6.26,6.26,6.26,5.1,3.62,6.26,8.08,10.86,12,12.54,13.04,14.48,15.78,17.359999,18.1,18.459999,18.459999,18.459999,17.719999,17.359999,16.58,15.339999,14.48,13.54,12,10.86,2
31.34,34.719997,41.419998,46.200001,41.419998,24,10.86,7.24,5.1,7.24,6.26,3.62,0,0,0,10.86,5.1,5.1,0,0,0,0,0,6.26,8.08,5.1,8.08,17.719999,10.86,14.92,23.459999,20.459999,16.18,17.359999,12.54,13.04,19.82,14.02,7.24,16.58,9.559999,15.339999,19.139999,22.6,23.74,19.48,20.779999,16.18,13.04,17.359999,7.24,8.86,8.86,10.219999,9.559999,8.86,5.1,8.08,3.62,3.62,5.1,0,0,0,3
39.82,23.74,14.92,15.339999,13.54,9.559999,8.08,16.58,33.559998,30.279999,25.84,12,8.86,14.02,9.559999,13.04,7.24,10.86,10.86,14.02,9.559999,12,13.04,8.86,6.26,10.86,5.1,3.62,5.1,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,7.24,9.559999,12,14.02,15.78,17.359999,18.1,18.459999,18.799999,18.799999,18.459999,17.719999,17.359999,16.58,15.78,14.48,13.54,12.54,11.44,10.86,9.559999,4
21.719999,17.719999,15.78,14.92,14.02,13.54,14.92,10.219999,11.44,14.48,10.219999,8.86,7.24,6.26,7.24,8.08,5.1,5.1,5.1,8.08,6.26,5.1,6.26,9.559999,7.24,3.62,5.1,3.62,0,0,0,0,0,3.62,3.62,3.62,3.62,7.24,7.24,6.26,5.1,3.62,3.62,0,0,3.62,3.62,0,3.62,5.1,5.1,5.1,5.1,7.24,9.559999,10.219999,10.86,11.44,11.44,11.44,12,12,11.44,11.44,5
22.6,20.139999,16.18,11.44,13.54,14.02,12,12.54,11.44,13.04,12,13.04,9.559999,9.559999,7.24,8.08,8.86,7.24,7.24,8.08,5.1,7.24,3.62,3.62,3.62,3.62,3.62,8.08,3.62,3.62,3.62,3.62,3.62,3.62,5.1,0,0,3.62,0,3.62,6.26,3.62,0,3.62,5.1,8.08,10.219999,10.219999,10.219999,9.559999,8.08,7.24,8.08,8.86,8.86,8.86,8.86,8.86,9.559999,9.559999,9.559999,9.559999,9.559999,9.559999,6
48.419998,69.540001,78.979996,70.659996,59.359997,40.619999,38.299999,21.1,27.08,14.48,3.62,0,0,0,40.299999,68.479996,73.019997,56.079998,31.139999,43.579998,22.299999,16.58,22.02,15.339999,12,13.54,16.18,20.139999,15.78,18.1,9.559999,28.26,14.48,19.82,19.82,12.54,18.799999,14.48,15.339999,22.6,25.84,14.02,8.08,9.559999,6.26,7.24,6.26,6.26,6.26,7.24,11.44,8.86,10.86,10.86,10.86,7.24,6.26,5.1,7.24,8.08,12,8.86,10.86,14.02,7
22.6,20.459999,14.48,17.359999,13.54,16.58,16.58,16.58,12.54,21.719999,16.58,17.359999,16.58,16.58,14.02,15.339999,21.1,12.54,11.44,10.86,7.24,6.26,13.04,10.219999,14.92,11.44,8.86,10.219999,12.54,9.559999,10.219999,11.44,17.719999,18.799999,10.86,11.44,17.719999,14.48,9.559999,10.219999,10.219999,7.24,11.44,12.54,10.219999,15.78,14.02,12.54,14.48,14.92,13.54,16.58,17.359999,13.04,10.86,7.24,13.54,9.559999,14.02,9.559999,15.339999,12.54,8.08,10.86,8
24,16.98,23.18,25.599998,26.34,24.279999,15.78,19.139999,24,19.139999,24.82,13.04,17.359999,16.58,13.04,16.58,11.44,12,8.08,7.24,6.26,8.86,8.86,3.62,3.62,3.62,0,3.62,0,0,3.62,3.62,3.62,0,0,0,3.62,3.62,3.62,5.1,5.1,6.26,7.24,7.24,8.08,8.08,8.08,8.08,8.08,7.24,7.24,6.26,6.26,5.1,5.1,3.62,3.62,3.62,0,0,0,0,0,0,9
31.959999,26.84,20.139999,15.78,23.18,26.34,30.279999,29.179998,28.26,36.02,35.639999,22.02,28.039999,29.84,25.08,23.18,19.48,19.82,10.86,6.26,3.62,7.24,8.08,10.86,13.54,14.02,14.48,14.92,15.78,16.18,16.18,15.78,15.78,16.58,33.759998,41.739998,40.939999,41.579998,40.939999,39.82,22.879999,26.599998,16.18,13.04,6.26,0,0,3.62,3.62,0,5.1,55.259998,42.200001,35.459999,22.879999,18.799999,12,21.4,20.459999,22.879999,26.599998,12.54,20.139999,22.02,10
39.48,51.32,40.619999,41.579998,36.559998,31.959999,20.779999,9.559999,3.62,7.24,10.219999,7.24,3.62,0,0,14.02,50.279999,18.1,23.18,31.959999,14.48,3.62,6.26,20.139999,22.6,25.599998,16.18,15.339999,16.18,16.58,20.139999,17.719999,19.82,16.58,18.459999,17.719999,13.04,13.54,11.44,12,14.02,8.08,12.54,15.339999,12,10.86,9.559999,6.26,0,0,0,0,0,6.26,10.219999,8.86,6.26,5.1,0,3.62,0,0,0,0,11
49.759998,43.739998,40.299999,37.079998,14.02,6.26,7.24,14.48,8.86,0,3.62,6.26,8.86,26.84,30.699999,10.219999,8.86,9.559999,18.1,9.559999,16.18,14.02,16.98,10.86,14.48,14.92,14.92,16.18,18.1,16.18,18.1,17.359999,18.459999,14.02,13.04,11.44,11.44,12,13.54,8.08,10.86,14.92,14.92,10.86,8.08,7.24,8.08,8.86,7.24,7.24,7.24,7.24,5.1,6.26,5.1,7.24,3.62,5.1,6.26,3.62,6.26,0,3.62,3.62,12
43.739998,48.16,48.02,48.700001,45.919998,43.579998,28.26,10.219999,5.1,0,0,0,0,3.62,8.08,15.339999,34.52,16.18,8.86,7.24,14.92,16.18,20.139999,19.139999,18.1,12.54,11.44,12.54,19.82,17.719999,23.18,25.08,20.459999,21.1,19.139999,18.799999,17.719999,14.02,14.92,19.48,18.459999,13.04,13.04,8.86,12.54,8.08,7.24,3.62,3.62,5.1,5.1,5.1,3.62,0,0,0,3.62,6.26,8.08,10.219999,12,13.04,14.02,15.78,13
44.18,48.419998,46.779999,37.439999,20.139999,12,10.86,11.44,10.86,10.219999,9.559999,8.86,24.82,25.34,13.54,12.54,14.02,7.24,5.1,13.54,11.44,8.86,8.08,7.24,7.24,10.219999,14.48,14.48,18.459999,17.719999,21.4,22.02,20.139999,18.799999,18.799999,20.779999,18.459999,14.48,13.54,12.54,8.08,7.24,0,0,0,3.62,5.1,7.24,9.559999,11.44,12.54,12,10.219999,7.24,3.62,0,0,0,3.62,5.1,7.24,9.559999,11.44,13.54,14
24,31.139999,31.559999,25.08,18.459999,16.18,8.86,14.02,14.02,9.559999,12,10.219999,14.48,15.339999,18.1,20.779999,19.48,20.459999,20.779999,15.339999,18.459999,18.799999,15.78,15.78,16.98,17.719999,14.48,11.44,15.78,12.54,14.48,12.54,11.44,11.44,9.559999,9.559999,7.24,10.219999,6.26,7.24,7.24,6.26,5.1,0,6.26,3.62,5.1,3.62,6.26,3.62,5.1,3.62,6.26,3.62,5.1,3.62,0,0,3.62,3.62,5.1,3.62,3.62,3.62,15
24.279999,6.26,14.02,62.059998,29.84,7.24,10.86,12,19.139999,22.6,13.54,22.6,14.48,18.799999,21.719999,8.86,8.86,8.08,8.08,5.1,0,0,0,0,0,0,3.62,0,3.62,5.1,3.62,5.1,8.08,5.1,8.08,8.08,8.08,7.24,3.62,5.1,3.62,6.26,6.26,5.1,3.62,0,0,3.62,5.1,7.24,8.08,8.86,8.86,8.86,8.08,7.24,6.26,7.24,7.24,8.08,8.08,7.24,7.24,6.26,16
29.84,32.380001,31.76,40.619999,31.559999,37.959999,26.599998,36.380001,58.599998,33.360001,10.219999,15.78,20.459999,18.1,16.98,14.02,9.559999,10.219999,10.86,12.54,12,11.44,9.559999,8.86,8.86,7.24,10.86,8.08,7.24,8.86,11.44,9.559999,6.26,7.24,7.24,6.26,7.24,3.62,5.1,6.26,5.1,5.1,5.1,7.24,5.1,3.62,5.1,3.62,5.1,3.62,0,5.1,3.62,3.62,0,5.1,3.62,0,0,3.62,3.62,3.62,3.62,0,17
21.1,14.48,10.86,12.54,17.719999,18.459999,16.58,18.799999,19.139999,16.18,14.02,14.02,11.44,9.559999,7.24,7.24,3.62,0,0,0,0,0,0,3.62,5.1,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,5.1,5.1,6.26,7.24,8.86,9.559999,10.219999,11.44,12,12,12,12,12,11.44,10.86,10.219999,9.559999,8.86,8.08,7.24,7.24,6.26,6.26,6.26,5.1,5.1,18
24.539999,20.459999,13.04,15.78,14.92,14.48,13.54,7.24,12,8.86,7.24,10.219999,8.86,9.559999,8.08,7.24,8.08,7.24,5.1,7.24,5.1,5.1,0,0,5.1,5.1,3.62,6.26,3.62,6.26,7.24,3.62,3.62,5.1,0,0,0,0,0,0,3.62,0,3.62,3.62,3.62,3.62,0,0,3.62,6.26,7.24,7.24,6.26,5.1,5.1,6.26,8.86,10.86,12.54,14.02,14.48,14.92,14.92,14.92,19
20.459999,12.54,14.92,14.02,16.18,18.459999,23.74,29.4,12.54,12.54,12.54,14.92,16.98,10.86,18.799999,10.86,10.219999,7.24,10.86,10.86,10.219999,9.559999,8.86,12,10.86,5.1,7.24,10.219999,14.02,6.26,6.26,7.24,5.1,3.62,7.24,7.24,6.26,6.26,8.86,5.1,5.1,5.1,3.62,3.62,3.62,0,3.62,3.62,3.62,3.62,3.62,3.62,5.1,7.24,8.86,9.559999,8.86,8.86,8.86,9.559999,9.559999,10.219999,10.219999,10.219999,20
24.539999,21.4,21.4,17.359999,27.32,16.18,18.799999,10.86,14.02,11.44,11.44,10.219999,10.219999,8.86,8.86,7.24,9.559999,8.08,9.559999,10.86,8.86,6.26,8.86,7.24,7.24,5.1,6.26,10.86,8.86,11.44,12.54,10.219999,10.86,14.48,10.86,10.86,12,16.18,10.86,8.08,12,8.86,9.559999,14.02,9.559999,8.08,10.219999,10.219999,13.04,10.86,6.26,7.24,0,3.62,0,0,0,0,0,0,7.24,11.44,12.54,13.04,21
21.4,23.74,12,20.779999,16.18,14.48,15.339999,10.86,6.26,12,11.44,7.24,13.04,8.86,12,5.1,8.86,3.62,3.62,0,5.1,0,0,0,0,3.62,3.62,5.1,0,0,0,0,0,0,3.62,3.62,3.62,3.62,5.1,5.1,6.26,6.26,6.26,6.26,6.26,6.26,7.24,8.08,8.86,8.86,9.559999,9.559999,10.219999,10.219999,10.219999,10.219999,10.219999,9.559999,9.559999,8.86,8.08,7.24,6.26,5.1,22
23.459999,20.139999,22.02,20.459999,27.08,22.299999,0,0,0,0,3.62,0,3.62,6.26,195.360001,181.87999,70.379997,63.419998,83.879997,65.659996,51.579998,42.82,36.200001,26.099998,17.719999,13.04,9.559999,10.219999,8.08,5.1,5.1,5.1,3.62,3.62,0,0,0,0,0,0,0,3.62,3.62,0,3.62,3.62,3.62,3.62,3.62,5.1,5.1,5.1,7.24,7.24,6.26,6.26,5.1,5.1,5.1,7.24,6.26,7.24,7.24,6.26,23
