aX,aY,aZ,gX,gY,gZ,sample
-0.771,1.546,0.66,181.763,53.284,222.168,1
-0.672,1.77,0.754,169.617,53.528,198.669,1
-0.565,1.936,0.783,157.349,48.828,171.509,1
-0.516,1.94,0.776,140.869,41.565,134.399,1
-0.442,1.838,0.796,119.446,36.194,91.003,1
-0.342,1.666,0.832,98.389,31.128,50.11,1
-0.279,1.52,0.841,82.52,24.353,21.118,1
-0.287,1.494,0.87,65.552,15.564,6.226,1
-0.323,1.572,0.895,47.791,8.972,-0.366,1
-0.39,1.745,0.914,32.288,6.592,-7.629,1
-0.459,2.018,1.022,14.282,8.545,-23.682,1
-0.47,2.333,1.2,-4.578,13.916,-48.34,1
-0.513,2.63,1.356,-21.729,22.156,-79.346,1
-0.375,2.787,1.479,-41.077,29.907,-121.765,1
-0.369,2.86,1.489,-66.65,26.733,-171.265,1
-0.482,2.833,1.535,-102.478,20.752,-220.459,1
-0.465,2.553,1.563,-138.245,14.954,-254.15,1
-0.386,2.139,1.54,-169.983,4.7,-268.555,1
-0.285,1.712,1.564,-192.261,-4.15,-277.771,1
-0.176,1.333,1.449,-198.792,-5.249,-296.143,1
-0.121,1.152,1.234,-192.017,-1.587,-320.007,1
-0.123,1.002,1.003,-186.707,7.446,-345.154,1
-0.153,0.827,0.764,-193.848,17.395,-362.915,1
-0.209,0.706,0.656,-217.957,20.752,-361.877,1
-0.174,0.546,0.641,-249.451,15.259,-340.088,1
-0.04,0.383,0.657,-277.893,5.066,-306.213,1
0.087,0.315,0.671,-300.354,-12.634,-272.583,1
0.212,0.271,0.688,-313.477,-31.433,-251.282,1
0.292,0.279,0.759,-319.824,-45.471,-247.62,1
0.28,0.271,0.789,-315.43,-48.828,-252.991,1
0.218,0.182,0.766,-300.11,-44.006,-262.573,1
0.147,0.011,0.665,-275.696,-35.461,-275.146,1
0.133,-0.18,0.601,-247.375,-20.935,-288.269,1
0.187,-0.495,0.544,-220.398,-11.902,-304.199,1
0.246,-0.876,0.418,-200.989,-2.136,-310.242,1
0.426,-1.247,0.232,-191.895,3.723,-286.56,1
0.67,-1.493,0.085,-189.88,-6.165,-247.253,1
0.821,-1.498,0.025,-192.2,-26.917,-198.12,1
0.84,-1.368,-0.042,-190.063,-46.57,-148.132,1
0.796,-1.244,-0.096,-182.19,-62.439,-113.892,1
0.744,-1.051,-0.072,-169.067,-76.294,-101.99,1
0.702,-0.934,-0.034,-141.541,-87.341,-108.154,1
0.704,-1.036,-0.084,-100.464,-84.534,-120.605,1
0.79,-1.165,-0.13,-73.181,-66.711,-124.817,1
0.835,-1.144,-0.104,-69.458,-53.711,-111.511,1
0.883,-1.063,-0.049,-68.848,-45.837,-87.28,1
0.923,-0.945,0.024,-61.829,-40.039,-64.087,1
0.959,-0.834,0.071,-49.072,-31.616,-50.049,1
0.971,-0.706,0.11,-34.729,-21.362,-46.57,1
0.972,-0.642,0.093,-20.203,-14.648,-49.011,1
0.952,-0.544,0.112,-9.277,-13.672,-49.866,1
0.958,-0.516,0.123,-1.099,-13.062,-45.898,1
0.993,-0.552,0.127,5.676,-10.498,-39.49,1
1.029,-0.542,0.122,7.69,-10.437,-28.931,1
1.033,-0.492,0.102,5.737,-13.489,-17.456,1
1.04,-0.417,0.109,1.831,-17.212,-7.385,1
1.049,-0.34,0.151,-2.93,-19.653,2.869,1
1.068,-0.279,0.201,-5.981,-19.043,10.437,1
1.066,-0.222,0.229,-4.456,-18.433,13.245,1
1.051,-0.175,0.243,0.916,-15.808,10.925,1
1.038,-0.17,0.24,8.423,-11.23,6.165,1
1.055,-0.178,0.231,13.794,-7.507,1.404,1
1.065,-0.193,0.231,17.395,-6.592,-0.244,1
1.076,-0.213,0.229,21.484,-5.554,-0.549,1
1.068,-0.24,0.205,25.024,-3.113,-0.671,1
1.059,-0.241,0.18,26.245,-1.343,0.793,1
1.056,-0.178,0.181,24.17,-0.732,5.859,1
1.05,-0.094,0.206,20.203,0.427,10.437,1
1.029,-0.026,0.23,14.099,2.258,12.756,1
1.01,0.004,0.232,7.996,3.723,14.954,1
1.003,0.011,0.211,3.723,4.883,15.93,1
0.99,-0.008,0.172,2.686,5.432,14.465,1
0.974,-0.052,0.115,4.578,6.592,11.78,1
0.957,-0.078,0.063,6.958,7.141,9.888,1
0.95,-0.086,0.031,8.667,5.188,9.399,1
0.943,-0.083,0.027,9.277,2.075,8.606,1
0.951,-0.062,0.054,9.949,0.366,7.324,1
0.954,-0.042,0.087,12.39,0.061,4.272,1
0.959,-0.058,0.081,16.418,0.183,-0.244,1
0.953,-0.088,0.071,17.09,-0.122,-3.235,1
0.951,-0.11,0.071,13.916,-1.709,-3.296,1
0.964,-0.121,0.088,9.216,-3.296,-1.221,1
0.986,-0.125,0.104,5.249,-3.54,1.343,1
0.994,-0.112,0.115,2.014,-2.686,3.906,1
0.998,-0.095,0.129,-0.427,-2.625,6.348,1
1.004,-0.075,0.153,-1.221,-2.625,7.568,1
1.004,-0.052,0.162,-0.549,-1.221,6.592,1
0.997,-0.046,0.154,1.16,0.488,3.845,1
0.981,-0.047,0.145,3.845,1.221,0.854,1
0.988,-0.069,0.142,7.446,1.526,-1.526,1
0.994,-0.118,0.094,10.681,1.831,-2.38,1
0.982,-0.125,0.073,9.094,1.465,-2.014,1
0.974,-0.128,0.071,5.188,0.61,-0.671,1
0.985,-0.123,0.094,1.953,-0.671,1.709,1
0.991,-0.123,0.115,0.732,-1.404,3.967,1
0.995,-0.127,0.127,0.61,-0.854,4.456,1
0.996,-0.129,0.129,1.343,0.183,4.211,1
0.995,-0.141,0.118,2.991,1.282,3.479,1
0.98,-0.138,0.107,4.517,1.343,2.747,1
0.973,-0.132,0.102,6.042,1.343,2.319,1
0.973,-0.12,0.106,6.165,1.282,2.136,1
0.983,-0.107,0.115,4.395,1.282,3.052,1
0.989,-0.095,0.115,2.502,0.977,4.456,1
0.982,-0.107,0.106,2.991,0.854,5.066,1
0.975,-0.105,0.102,5.737,1.404,4.517,1
0.967,-0.103,0.101,9.338,1.953,1.831,1
0.971,-0.102,0.102,11.597,1.709,-1.282,1
0.97,-0.109,0.099,11.292,0.916,-1.831,1
0.976,-0.117,0.091,10.376,0.549,-1.038,1
0.972,-0.118,0.066,11.841,0.305,-0.244,1
0.947,-0.095,0.069,14.099,-0.305,-0.427,1
0.959,-0.07,0.089,15.503,-0.671,-1.953,1
0.966,-0.063,0.095,13.794,-1.16,-2.441,1
0.961,-0.064,0.101,8.85,-1.465,-1.282,1
0.971,-0.071,0.108,4.15,-0.977,1.099,1
0.978,-0.07,0.111,2.93,-0.305,2.319,1
0.976,-0.084,0.091,5.432,0.244,0.671,1
0.97,-0.097,0.077,6.836,0.183,-1.648,1
0.968,-0.102,0.076,5.859,-0.488,-2.197,1
1.391,-1.003,0.453,13.672,40.405,121.887,2
1.202,-0.94,0.418,8.667,49.438,161.804,2
1.219,-0.963,0.337,2.441,51.392,194.763,2
1.12,-0.905,0.317,-7.324,45.105,227.6,2
1.089,-0.856,0.285,-14.893,55.42,255.798,2
1.032,-0.781,0.247,-14.587,58.289,273.865,2
0.908,-0.661,0.136,-0.793,59.021,269.531,2
0.822,-0.607,0.045,18.982,59.326,265.32,2
0.731,-0.547,0.017,32.654,64.392,261.23,2
0.649,-0.468,-0.016,46.814,67.81,258.057,2
0.596,-0.417,-0.057,63.049,69.397,258.423,2
0.571,-0.357,-0.02,76.904,67.993,260.132,2
0.576,-0.279,0.116,90.759,66.956,260.193,2
0.544,-0.118,0.125,111.023,69.763,261.475,2
0.388,-0.018,0.023,126.526,71.045,260.254,2
0.223,0.037,-0.002,118.469,62.378,265.808,2
0.152,0.186,0.078,101.563,53.772,278.625,2
0.145,0.301,0.127,96.802,50.537,290.283,2
0.117,0.4,0.156,104.98,50.537,293.396,2
0.041,0.527,0.129,116.211,49.561,288.452,2
0.01,0.689,0.124,127.197,50.232,278.015,2
-0.016,0.786,0.15,143.738,54.504,255.798,2
0.006,0.896,0.203,165.588,60.486,224.854,2
0.011,0.992,0.258,186.768,64.087,191.162,2
-0.03,0.997,0.233,203.491,68.542,160.767,2
-0.125,0.996,0.129,204.651,67.444,140.808,2
-0.154,1.093,0.211,188.232,57.312,138.611,2
-0.124,1.182,0.372,163.208,43.762,144.47,2
-0.084,1.212,0.473,146.423,38.94,146.912,2
-0.157,1.364,0.525,132.263,40.71,140.32,2
-0.188,1.519,0.631,114.868,39.246,135.071,2
-0.195,1.654,0.73,99.854,40.161,127.502,2
-0.175,1.718,0.803,90.454,43.213,112.732,2
-0.135,1.778,0.793,84.839,45.288,94.604,2
-0.156,1.796,0.711,79.468,48.157,73.364,2
-0.218,1.806,0.61,71.716,50.171,48.34,2
-0.282,1.85,0.525,61.035,47.607,23.743,2
-0.33,1.929,0.516,48.096,42.847,2.686,2
-0.366,2.05,0.503,33.997,36.987,-16.418,2
-0.407,2.191,0.547,18.616,30.701,-38.94,2
-0.443,2.319,0.603,1.709,24.536,-66.65,2
-0.431,2.382,0.678,-18.982,18.555,-97.534,2
-0.419,2.401,0.693,-47.424,11.108,-129.517,2
-0.438,2.311,0.667,-81.421,1.282,-162.109,2
-0.414,2.187,0.694,-116.333,-10.376,-193.115,2
-0.346,2.023,0.732,-143.982,-23.865,-219.36,2
-0.295,1.865,0.744,-162.537,-36.926,-240.601,2
-0.276,1.748,0.743,-176.208,-46.387,-261.841,2
-0.214,1.598,0.785,-189.087,-52.063,-285.706,2
-0.13,1.394,0.8,-200.5,-54.504,-307.861,2
-0.061,1.251,0.8,-213.074,-60.364,-322.632,2
-0.019,1.15,0.805,-226.868,-70.007,-329.895,2
0.025,1.069,0.842,-242.615,-70.068,-335.266,2
0.052,0.967,0.91,-258.789,-66.833,-337.83,2
0.077,0.82,0.934,-268.25,-63.477,-335.449,2
0.092,0.638,0.938,-266.357,-62.256,-331.848,2
0.126,0.434,0.929,-254.15,-70.129,-331.238,2
0.073,0.24,0.838,-232.666,-79.163,-335.815,2
0.052,-0.01,0.742,-203.918,-80.688,-346.313,2
0.06,-0.273,0.581,-176.331,-74.097,-356.262,2
0.084,-0.504,0.449,-156.982,-67.627,-360.413,2
0.099,-0.644,0.353,-143.25,-63.538,-356.628,2
0.149,-0.806,0.297,-131.836,-60.547,-343.933,2
0.198,-0.952,0.27,-124.39,-56.274,-324.768,2
0.252,-1.054,0.302,-115.295,-50.11,-302.429,2
0.414,-1.324,0.296,-101.379,-41.565,-278.015,2
0.592,-1.525,0.257,-99.06,-33.752,-244.934,2
0.728,-1.608,0.201,-108.704,-32.349,-201.05,2
0.801,-1.573,0.183,-117.676,-34.058,-156.311,2
0.897,-1.536,0.148,-117.615,-36.133,-119.507,2
0.925,-1.496,0.111,-109.741,-40.222,-92.834,2
0.93,-1.341,0.114,-99.731,-47.729,-72.388,2
0.857,-1.142,0.167,-84.9,-55.786,-58.228,2
0.845,-0.99,0.217,-64.514,-55.786,-52.124,2
0.836,-0.96,0.183,-47.241,-50.476,-50.537,2
0.814,-0.927,0.17,-43.579,-41.809,-50.842,2
0.792,-0.88,0.182,-51.697,-42.48,-42.175,2
0.85,-0.855,0.236,-58.105,-44.189,-23.926,2
0.771,-0.823,0.207,-57.556,-21.118,-8.789,2
0.975,-0.782,0.258,-50.232,7.935,3.113,2
1.033,-0.726,0.287,-42.847,2.563,5.127,2
1.036,-0.731,0.292,-28.137,-14.709,-1.648,2
1.03,-0.722,0.294,-12.817,-19.897,-6.592,2
1.056,-0.708,0.269,-0.977,-16.479,-3.723,2
1.035,-0.657,0.247,6.47,-14.526,1.953,2
0.998,-0.568,0.245,9.521,-11.78,9.827,2
0.987,-0.449,0.289,9.888,-9.521,16.602,2
0.976,-0.312,0.342,8.911,-7.751,20.63,2
0.972,-0.241,0.37,11.536,-6.226,21.179,2
0.957,-0.202,0.359,15.564,-5.676,17.639,2
0.944,-0.197,0.331,20.508,-5.371,12.817,2
0.952,-0.21,0.299,24.719,-2.991,10.01,2
0.974,-0.244,0.289,26.917,-0.854,9.949,2
1.017,-0.285,0.285,29.48,-0.427,11.23,2
1.041,-0.303,0.268,33.569,-0.793,13.611,2
1.048,-0.314,0.243,38.94,-0.366,16.174,2
1.039,-0.295,0.232,43.335,0.549,17.273,2
1.008,-0.226,0.246,44.861,1.221,18.738,2
0.985,-0.153,0.25,44.8,1.709,18.921,2
0.964,-0.102,0.26,40.649,4.028,18.127,2
0.922,-0.053,0.273,31.372,4.395,18.188,2
0.915,-0.006,0.28,22.278,3.784,19.47,2
0.92,0.007,0.27,17.395,2.563,20.386,2
0.926,-0.023,0.25,16.418,2.869,18.311,2
0.939,-0.063,0.224,15.259,4.333,14.832,2
0.96,-0.111,0.195,15.015,4.944,12.878,2
0.977,-0.138,0.183,15.137,3.845,12.756,2
0.98,-0.134,0.204,16.907,2.808,12.512,2
0.977,-0.128,0.229,20.935,2.808,10.498,2
0.974,-0.127,0.245,26.367,3.296,7.751,2
0.971,-0.151,0.212,31.616,3.54,5.127,2
0.968,-0.171,0.181,33.752,3.601,3.113,2
0.943,-0.176,0.157,32.654,3.601,1.892,2
0.944,-0.191,0.147,29.968,4.395,0.427,2
0.949,-0.18,0.16,22.461,3.784,1.221,2
0.947,-0.159,0.186,11.719,1.282,5.92,2
0.964,-0.147,0.213,3.357,-0.488,10.437,2
0.966,-0.144,0.222,0.549,-0.244,12.146,2
0.962,-0.152,0.218,2.502,1.038,10.254,2
1.226,-1.133,0.481,75.562,33.813,96.619,3
1.304,-1.279,0.502,93.75,44.8,122.559,3
1.324,-1.362,0.366,112.061,53.894,157.227,3
1.187,-1.468,0.149,119.385,58.96,192.139,3
1.107,-1.378,-0.015,106.75,48.035,224.06,3
0.816,-1.221,-0.168,83.13,28.381,250.854,3
0.589,-1.057,-0.197,55.969,17.822,277.222,3
0.451,-0.882,-0.129,31.128,7.507,312.378,3
