1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,sample
61.739998,48.84,37.959999,28.959999,20.139999,22.02,23.459999,23.18,22.6,27.08,30.059999,25.34,29.179998,30.92,26.34,26.099998,22.6,18.459999,16.18,24.82,31.76,19.139999,3.62,14.92,26.84,27.799999,28.5,27.799999,24.82,22.02,16.98,16.58,12.54,9.559999,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,3.62,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.26,6.26,6.26,5.1,5.1,3.62,3.62,3.62,3.62,1
42.059998,43.739998,28.26,24.539999,21.4,16.58,21.719999,17.719999,21.719999,19.82,19.82,16.18,17.719999,14.48,33.360001,45.34,46.779999,41.739998,50.939999,38.639999,9.559999,15.339999,31.139999,43.739998,48.559998,45.34,38.299999,26.599998,17.359999,7.24,8.08,14.48,18.459999,18.459999,18.799999,17.359999,12,10.219999,8.08,6.26,0,3.62,7.24,9.559999,12,12.54,12.54,12.54,14.02,13.54,14.02,12.54,12,10.86,11.44,12.54,14.02,15.339999,16.58,16.98,15.78,13.04,10.219999,6.26,2
44.32,36.559998,27.32,22.6,21.4,20.459999,20.139999,21.719999,19.82,22.879999,22.6,24.279999,20.459999,28.959999,35.099998,33.360001,32.18,77.720001,60.359997,17.719999,25.599998,46.919998,56.439999,60.459999,61.219997,59.48,55.599998,48.279999,44.48,36.380001,27.799999,21.719999,18.459999,12.54,9.559999,8.08,9.559999,9.559999,8.08,8.86,5.1,3.62,5.1,7.24,8.08,8.86,8.08,6.26,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
54.299999,38.98,29.84,21.4,17.719999,20.459999,21.719999,22.879999,16.58,16.98,11.44,13.04,15.339999,19.139999,14.02,10.86,8.86,13.54,57.119999,62.48,22.02,14.92,35.279999,37.619999,41.099998,43.119999,42.68,37.959999,36.200001,30.5,24.539999,20.139999,18.1,19.82,21.719999,18.799999,18.1,14.48,13.04,14.02,12.54,9.559999,10.219999,8.86,8.86,13.54,9.559999,5.1,5.1,6.26,7.24,5.1,5.1,7.24,5.1,5.1,0,5.1,5.1,5.1,5.1,3.62,0,0,4
53.559998,55.959999,24.279999,8.08,9.559999,14.92,17.359999,18.459999,17.359999,14.02,14.48,14.92,15.78,13.04,10.86,15.339999,22.02,12,16.98,22.879999,15.78,16.58,16.18,12,22.879999,16.18,20.779999,26.34,19.82,20.139999,20.459999,22.879999,27.559999,32.380001,34.139999,31.76,29.619999,26.599998,22.879999,19.82,17.719999,15.339999,13.04,10.219999,7.24,5.1,3.62,6.26,8.86,7.24,3.62,0,5.1,8.08,10.86,12.54,14.02,14.92,15.339999,15.339999,14.92,14.48,14.02,13.54,5
53.32,53.32,40.619999,32.380001,24,24.539999,23.459999,26.34,28.719999,29.4,23.18,27.559999,27.32,23.74,29.4,31.139999,31.34,29.619999,24.279999,23.459999,32.18,13.54,9.559999,15.78,24.539999,31.76,36.02,33.959999,30.699999,28.039999,25.84,24.539999,23.18,21.4,20.779999,11.44,10.219999,9.559999,5.1,3.62,0,3.62,3.62,5.1,11.44,6.26,3.62,0,3.62,5.1,5.1,6.26,3.62,3.62,5.1,8.08,8.08,8.08,7.24,6.26,5.1,5.1,5.1,5.1,6
47.34,31.139999,38.639999,30.5,34.34,21.719999,19.48,18.459999,13.54,13.54,13.54,15.339999,17.719999,14.02,14.48,14.02,14.02,10.86,10.219999,8.86,7.24,6.26,11.44,26.599998,12.54,7.24,17.719999,21.4,19.139999,15.78,12.54,10.219999,8.08,7.24,6.26,5.1,3.62,3.62,0,3.62,5.1,5.1,0,3.62,3.62,6.26,9.559999,7.24,3.62,5.1,5.1,5.1,6.26,5.1,6.26,7.24,7.24,5.1,3.62,3.62,3.62,3.62,0,0,7
43.279999,45.059998,19.139999,18.1,27.799999,32.579998,37.079998,36.559998,31.139999,25.599998,21.1,17.719999,15.339999,9.559999,5.1,0,3.62,5.1,0,0,0,0,3.62,5.1,3.62,3.62,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,3.62,5.1,5.1,7.24,8.08,8.86,10.219999,11.44,12,12,12.54,12.54,12.54,12.54,12,11.44,10.86,10.86,10.219999,9.559999,9.559999,8.86,8
40.619999,31.559999,26.599998,22.02,22.299999,24.279999,25.599998,27.32,28.039999,27.08,27.08,26.099998,24.82,26.099998,21.719999,28.26,21.719999,22.879999,25.08,8.86,10.86,12,18.799999,28.26,32.18,36.739998,36.919998,34.719997,31.959999,29.179998,24.82,26.099998,14.02,7.24,8.86,8.08,0,3.62,6.26,5.1,0,5.1,3.62,5.1,5.1,5.1,3.62,0,0,0,0,0,0,0,0,0,3.62,5.1,7.24,9.559999,10.86,11.44,12.54,12.54,9
45.059998,28.26,12,7.24,11.44,16.18,17.719999,19.48,15.78,12,13.54,16.18,18.799999,19.139999,18.459999,21.4,21.1,8.08,6.26,5.1,8.86,8.08,5.1,12.54,19.139999,23.459999,24.539999,24.82,25.08,24,21.1,16.58,12.54,8.86,5.1,3.62,0,0,3.62,5.1,3.62,5.1,5.1,5.1,6.26,8.08,8.86,9.559999,10.219999,9.559999,9.559999,8.86,8.86,8.08,8.08,8.08,8.86,8.86,8.86,9.559999,8.86,8.86,8.08,8.08,10
