aX,aY,aZ,gX,gY,gZ,sample
2.588,3.391,-0.708,828.552,224.915,-56.58,1
-0.19,2.959,-2.159,1036.255,-3.235,-158.691,1
-1.228,2.022,-3.32,578.247,-28.442,-213.745,1
-0.901,0.773,-1.755,172.241,-31.25,-141.968,1
-0.025,0.1,-0.667,27.771,-30.273,-42.114,1
0.587,0.269,-0.522,-28.992,-11.108,22.766,1
0.783,0.395,-0.243,-38.513,-8.362,48.706,1
0.681,0.434,-0.146,-36.133,-2.747,51.575,1
0.41,0.503,-0.185,-45.837,-0.061,50.232,1
0.224,0.507,-0.094,-57.556,-4.211,51.636,1
0.197,0.56,-0.01,-63.843,-3.418,54.138,1
0.234,0.72,-0.027,-57.922,-0.244,51.819,1
0.256,0.892,-0.125,-43.152,2.258,42.297,1
0.235,1.007,-0.238,-27.649,3.784,29.236,1
0.18,1.046,-0.304,-16.663,-1.16,16.724,1
0.161,1.036,-0.354,-10.071,-7.141,8.789,1
0.185,0.986,-0.388,-6.592,-9.705,5.31,1
0.196,0.915,-0.407,-3.54,-11.475,4.333,1
0.2,0.848,-0.423,-4.761,-9.766,4.15,1
0.263,0.814,-0.425,-7.812,-5.188,6.104,1
0.29,0.793,-0.402,-10.254,-4.639,5.981,1
0.287,0.794,-0.396,-11.78,-5.066,3.357,1
0.264,0.796,-0.408,-12.939,-4.456,0.305,1
0.231,0.803,-0.403,-13.306,-3.479,-2.197,1
0.224,0.813,-0.396,-13.733,-2.38,-3.723,1
0.222,0.835,-0.395,-14.709,-2.014,-4.883,1
0.215,0.842,-0.389,-16.968,-2.38,-6.592,1
0.218,0.844,-0.38,-20.203,-3.113,-7.935,1
0.221,0.839,-0.36,-22.766,-4.272,-8.911,1
0.212,0.843,-0.34,-22.949,-3.174,-9.094,1
0.223,0.849,-0.333,-20.996,-1.648,-9.216,1
0.24,0.854,-0.351,-16.113,-0.488,-9.888,1
0.23,0.843,-0.363,-10.498,-0.305,-12.39,1
0.215,0.836,-0.391,-6.714,1.221,-14.465,1
0.217,0.835,-0.425,-4.272,2.563,-14.16,1
0.236,0.853,-0.428,-3.906,3.601,-11.23,1
0.267,0.869,-0.433,-4.333,3.906,-7.69,1
0.284,0.89,-0.436,-4.883,3.662,-5.249,1
0.287,0.896,-0.429,-5.432,3.113,-4.395,1
0.288,0.895,-0.414,-5.981,2.319,-4.028,1
0.287,0.887,-0.401,-4.333,1.038,-3.479,1
0.281,0.886,-0.406,-2.869,0.305,-3.052,1
0.278,0.88,-0.409,-2.441,0.122,-2.258,1
0.287,0.88,-0.409,-2.502,0.366,-1.16,1
0.293,0.88,-0.407,-3.906,0.793,-0.488,1
0.296,0.879,-0.406,-4.761,0.793,-0.061,1
0.296,0.875,-0.407,-5.249,1.16,0.0,1
0.29,0.872,-0.403,-6.104,1.526,0.0,1
0.287,0.866,-0.402,-6.104,2.075,-0.244,1
0.28,0.862,-0.401,-5.798,2.502,-0.61,1
0.278,0.863,-0.399,-4.944,2.502,-1.221,1
0.277,0.861,-0.402,-3.967,2.563,-2.258,1
0.272,0.853,-0.399,-3.296,2.014,-3.662,1
0.268,0.839,-0.402,-3.296,1.953,-4.7,1
0.264,0.836,-0.406,-3.601,2.258,-5.554,1
0.265,0.832,-0.421,-4.028,2.808,-5.859,1
0.261,0.828,-0.432,-5.676,3.54,-6.348,1
0.252,0.812,-0.44,-8.24,3.967,-6.348,1
0.248,0.804,-0.453,-13.367,5.005,-5.615,1
0.261,0.806,-0.462,-20.63,6.897,-4.761,1
0.261,0.799,-0.474,-28.748,8.057,-4.761,1
0.253,0.786,-0.496,-38.635,7.751,-5.554,1
0.243,0.787,-0.517,-51.331,7.507,-6.348,1
0.246,0.787,-0.534,-66.406,7.507,-6.775,1
0.246,0.78,-0.541,-81.726,7.385,-7.385,1
0.237,0.78,-0.553,-95.215,5.981,-8.667,1
0.214,0.764,-0.579,-105.896,4.517,-10.193,1
0.205,0.753,-0.566,-114.38,2.747,-10.132,1
0.205,0.764,-0.553,-119.629,2.747,-9.094,1
0.171,0.796,-0.541,-120.544,2.686,-7.263,1
0.117,0.802,-0.471,-116.211,0.977,-3.845,1
0.085,0.773,-0.394,-105.591,-1.709,2.38,1
0.124,0.793,-0.374,-89.966,-2.563,9.338,1
0.208,0.8,-0.466,-74.89,0.122,13.184,1
0.264,0.822,-0.557,-67.749,0.549,11.597,1
0.287,0.847,-0.61,-65.613,-1.953,5.676,1
0.292,0.825,-0.658,-65.002,-4.7,-1.221,1
0.274,0.825,-0.664,-66.895,-5.737,-6.287,1
0.26,0.795,-0.654,-68.542,-6.104,-9.766,1
0.255,0.753,-0.661,-68.542,-5.676,-10.376,1
0.251,0.738,-0.67,-68.787,-5.432,-9.399,1
0.233,0.719,-0.646,-69.214,-6.531,-6.714,1
0.238,0.708,-0.601,-67.261,-7.385,-3.357,1
0.259,0.691,-0.566,-62.683,-7.019,1.038,1
0.29,0.674,-0.596,-54.993,-6.592,5.493,1
0.335,0.657,-0.664,-47.913,-6.775,7.812,1
0.355,0.657,-0.707,-45.837,-7.446,7.568,1
0.359,0.657,-0.716,-46.692,-7.935,5.92,1
0.339,0.658,-0.699,-45.532,-8.057,4.456,1
0.345,0.631,-0.7,-41.26,-7.751,3.845,1
0.343,0.608,-0.708,-35.522,-8.423,3.601,1
0.343,0.592,-0.723,-31.982,-8.789,3.845,1
0.339,0.586,-0.711,-29.846,-9.277,4.15,1
0.334,0.575,-0.695,-27.405,-9.583,5.005,1
0.331,0.564,-0.692,-24.353,-9.766,6.348,1
0.337,0.558,-0.701,-20.935,-9.583,7.935,1
0.346,0.554,-0.722,-18.616,-8.728,8.789,1
0.359,0.548,-0.751,-17.151,-7.812,8.85,1
0.357,0.558,-0.751,-17.334,-7.629,8.362,1
0.352,0.558,-0.74,-16.479,-8.057,7.874,1
0.347,0.546,-0.755,-14.648,-8.301,7.812,1
0.349,0.544,-0.778,-14.038,-7.812,7.69,1
0.349,0.547,-0.788,-15.259,-6.348,7.568,1
0.355,0.553,-0.789,-17.212,-5.31,7.629,1
0.359,0.572,-0.773,-19.226,-4.089,6.714,1
0.359,0.573,-0.759,-19.531,-3.235,5.615,1
0.354,0.565,-0.762,-18.127,-3.357,4.7,1
0.354,0.563,-0.761,-16.907,-3.601,3.967,1
0.358,0.558,-0.765,-15.93,-3.54,2.747,1
0.361,0.549,-0.774,-15.198,-3.235,1.282,1
0.358,0.541,-0.783,-14.343,-2.38,0.122,1
0.348,0.523,-0.789,-12.268,-2.441,-0.122,1
0.34,0.516,-0.796,-10.254,-1.953,0.61,1
0.33,0.516,-0.798,-9.155,-0.488,1.953,1
0.321,0.517,-0.795,-8.057,0.61,3.723,1
0.311,0.526,-0.788,-7.141,1.404,5.615,1
0.31,0.537,-0.791,-7.019,2.197,7.08,1
0.317,0.536,-0.798,-7.812,3.479,7.263,1
0.311,0.543,-0.793,-9.583,3.967,5.859,1
2.227,3.905,-0.44,617.126,163.818,-48.645,2
0.157,2.38,-3.363,1059.814,-21.362,-108.826,2
-1.164,1.211,-2.953,517.456,-109.131,-137.939,2
-0.452,0.433,-1.437,85.876,-55.054,-68.054,2
0.118,0.328,-1.162,-53.284,-30.09,-4.761,2
0.347,0.559,-0.734,-128.113,-7.69,22.095,2
0.339,0.539,-0.179,-130.066,-11.841,28.198,2
0.213,0.514,-0.11,-92.407,-6.714,30.212,2
0.183,0.566,-0.195,-59.631,5.676,39.978,2
0.151,0.616,-0.249,-45.471,5.432,47.18,2
